token,score
admiration,2
admirable,3
awkward,-2
belligerent,-3
better,2
bewildered,-2
cordially,1
cried,-2
dare,1
dreary,-3
doubt,-2
fancy,2
hard-hearted,-3
harsh,-3
harshly,-3
ill,-2
indulgent,-1
mad,-2
mysterious,1
orphan,-2
orphaned,-3
pleasure,1
pompous,-3
poor,-2
poorer,-3
poorest,-3
poorly,-2
practical,2
pride,1
prejudice,-3
terror,-3
terrify,-3
undeveloped,-2
vanity, -2
virtue,3
war,-4
warfare,-4
unnecessary,-1
acknowledgment,1
plain,-1
pretensions,-1
suffrage,2
obscure,-1
aspirant,2
tact,2
energy,2
frank,1
liberality,1
unrecommended,-2
life,3
gifted,3
unusual,-1
carping,-2
heart,1
acknowledged,2
aid,2
aided,2
mean,-2
bigotry,-3
solace,2
tumult,-2
well,2
good,3
fortune,2
cried,-3
rightful,2
dear,2
impatiently,-2
objection,-3
tiresome,-3
marrying,2
settling,-2
party,3
flatter,2
extraordinary,3
beauty,2
impossible,-2
overscrupulous,-2
friends,2
goodhumoured,2
definite,1
forcibly,-3
rights,3
neutral,1
forfeited,-1
breaking,-2
content,2
power,-1
belonging,3
reparation,2
bound,-1
dominions,-2
expiration,-2
execution,-4
renewed,3
proper,3
phenomenon,3
elate,3
dyspeptic,-3
dyspepsia,-2
malefactor,-3
malefactors,-3
tawdry,-3
shoddy,-3
tasteless,-3
gorgeous,4
treachery,-4
shooting,-3
shot,-2
gunman,-3
caprice,-2
capricious,-2
consideration,2
live,2
temper,-2
fancied,2
resentfully,-3
depend,1
serving,-1
deigned,-2
scolding,-3
fretfully,-2
emphatic,-1
wished,1
sensible,2
unlucky,-3
astonishment,2
persuade,1
amends,3
stoutly,2
assistance,2
satisfactory,3
ingenious,4
obliged,1
entertained,3
happily,3
equally,2
disconcerted,-3
